(from GFF),,,
gene.name,gene.ID,B2Gname,rnaID
batf,gene8268,rna15770_gene_batf,rna15770
LOC106919675,gene8269,rna15772_gene_LOC106919675,rna15772
LOC106919676,gene8270,NA,NA
LOC106919679,gene8271,rna15773_gene_LOC106919679,rna15773
LOC106919680,gene8272,rna15774_gene_LOC106919680,rna15774
ylpm1,gene8273,rna15775_gene_ylpm1,rna15775
LOC106919682,gene8274,rna15783_gene_LOC106919682,rna15783
LOC106919662,gene8275,rna15785_gene_LOC106919662,rna15785
LOC106919687,gene8276,rna15786_gene_LOC106919687,rna15786
whamm,gene8277,rna15787_gene_whamm,rna15787
LOC106919686,gene8278,rna15788_gene_LOC106919686,rna15788
fsd2,gene8279,rna15789_gene_fsd2,rna15789
LOC106919689,gene8280,rna15790_gene_LOC106919689,rna15790
LOC106919688,gene8281,rna15793_gene_LOC106919688,rna15793
gatm,gene8282,rna15796_gene_gatm,rna15796
LOC106919693,gene8283,rna15797_gene_LOC106919693,rna15797
LOC106919694,gene8284,rna15798_gene_LOC106919694,rna15798
hdc,gene8285,rna15799_gene_hdc,rna15799
usp8,gene8286,rna15801_gene_usp8,rna15801
usp50,gene8287,rna15804_gene_usp50,rna15804
mapk6,gene8288,rna15805_gene_mapk6,rna15805
leo1,gene8289,rna15809_gene_leo1,rna15809
LOC106919700,gene8290,NA,NA
tmod3,gene8291,rna15811_gene_tmod3,rna15811
lysmd2,gene8292,rna15814_gene_lysmd2,rna15814
scg3,gene8293,rna15816_gene_scg3,rna15816
LOC106919704,gene8294,NA,NA
LOC106919708,gene8295,NA,NA
tnfaip8l3,gene8296,rna15819_gene_tnfaip8l3,rna15819
LOC106919712,gene8297,rna15820_gene_LOC106919712,rna15820
LOC106919713,gene8298,rna15821_gene_LOC106919713,rna15821
LOC106919714,gene8299,NA,NA
trnas-cga,gene8300,NA,NA
trnas-cga,gene8301,NA,NA
trnas-cga,gene8302,NA,NA
trnas-cga,gene8303,NA,NA
trnas-uga,gene8304,NA,NA
trnas-cga,gene8305,NA,NA
trnas-cga,gene8306,NA,NA
LOC106919709,gene8307,NA,NA
LOC106919715,gene8308,rna15831_gene_LOC106919715,rna15831
stard3nl,gene8309,rna15832_gene_stard3nl,rna15832
LOC106919710,gene8310,NA,NA
LOC106919720,gene8311,rna15835_gene_LOC106919720,rna15835
LOC106919717,gene8312,rna15836_gene_LOC106919717,rna15836
epdr1,gene8313,rna15837_gene_epdr1,rna15837
nol7,gene8314,rna15838_gene_nol7,rna15838
ranbp9,gene8315,rna15839_gene_ranbp9,rna15839
LOC106919723,gene8316,rna15840_gene_LOC106919723,rna15840
rnf182,gene8317,rna15841_gene_rnf182,rna15841
fam134b,gene8318,rna15843_gene_fam134b,rna15843
LOC106919727,gene8319,rna15844_gene_LOC106919727,rna15844
LOC106919724,gene8320,rna15845_gene_LOC106919724,rna15845
znf622,gene8321,rna15846_gene_znf622,rna15846
march11,gene8322,rna15848_gene_march11,rna15848
myo10,gene8323,rna15850_gene_myo10,rna15850
LOC106919730,gene8324,rna15852_gene_LOC106919730,rna15852
LOC106919732,gene8325,rna15853_gene_LOC106919732,rna15853
LOC106919733,gene8326,rna15855_gene_LOC106919733,rna15855
LOC106919734,gene8327,rna15857_gene_LOC106919734,rna15857
LOC106919735,gene8328,NA,NA
LOC106919736,gene8329,NA,NA
LOC106919739,gene8330,rna15860_gene_LOC106919739,rna15860
prlh,gene8331,rna15862_gene_prlh,rna15862
trnar-ccg,gene8332,NA,NA
LOC106919742,gene8333,rna15866_gene_LOC106919742,rna15866
oplah,gene8334,rna15867_gene_oplah,rna15867
foxh1,gene8335,rna15868_gene_foxh1,rna15868
ppp1r16a,gene8336,rna15870_gene_ppp1r16a,rna15870
gpt,gene8337,rna15872_gene_gpt,rna15872
LOC106919749,gene8338,NA,NA
pdia4,gene8339,rna15875_gene_pdia4,rna15875
LOC106919747,gene8340,rna15876_gene_LOC106919747,rna15876
LOC106919737,gene8341,rna15877_gene_LOC106919737,rna15877
skida1,gene8342,rna15878_gene_skida1,rna15878
mllt10,gene8343,rna15881_gene_mllt10,rna15881
LOC106919738,gene8344,rna15884_gene_LOC106919738,rna15884
spag6,gene8345,rna15885_gene_spag6,rna15885
pip4k2a,gene8346,rna15888_gene_pip4k2a,rna15888
armc3,gene8347,rna15890_gene_armc3,rna15890
msrb2,gene8348,rna15891_gene_msrb2,rna15891
LOC106919757,gene8349,rna15893_gene_LOC106919757,rna15893
LOC106919758,gene8350,rna15894_gene_LOC106919758,rna15894
LOC106919756,gene8351,rna15897_gene_LOC106919756,rna15897
LOC106919760,gene8352,rna15899_gene_LOC106919760,rna15899
ice2,gene8353,rna15902_gene_ice2,rna15902
anxa2,gene8354,rna15903_gene_anxa2,rna15903
foxb1,gene8355,rna15904_gene_foxb1,rna15904
bnip2,gene8356,rna15907_gene_bnip2,rna15907
gcnt3,gene8357,rna15911_gene_gcnt3,rna15911
LOC106919765,gene8358,rna15912_gene_LOC106919765,rna15912
otud7a,gene8359,rna15913_gene_otud7a,rna15913
LOC106919769,gene8360,NA,NA
LOC106919770,gene8361,rna15917_gene_LOC106919770,rna15917
LOC106919771,gene8362,rna15918_gene_LOC106919771,rna15918
LOC106919773,gene8363,rna15920_gene_LOC106919773,rna15920
LOC106919774,gene8364,rna15924_gene_LOC106919774,rna15924
LOC106919776,gene8365,rna15926_gene_LOC106919776,rna15926
ncf4,gene8366,rna15928_gene_ncf4,rna15928
LOC106919777,gene8367,NA,NA
LOC106919778,gene8368,rna15931_gene_LOC106919778,rna15931
LOC106919772,gene8369,NA,NA
LOC106919779,gene8370,rna15936_gene_LOC106919779,rna15936
LOC106919781,gene8371,rna15937_gene_LOC106919781,rna15937
LOC106919780,gene8372,rna15939_gene_LOC106919780,rna15939
LOC106919784,gene8373,rna15941_gene_LOC106919784,rna15941
LOC106919786,gene8374,rna15943_gene_LOC106919786,rna15943
LOC106919785,gene8375,rna15944_gene_LOC106919785,rna15944
rps19bp1,gene8376,rna15945_gene_rps19bp1,rna15945
LOC106919787,gene8377,rna15946_gene_LOC106919787,rna15946
LOC106919790,gene8378,rna15947_gene_LOC106919790,rna15947
LOC106919791,gene8379,rna15949_gene_LOC106919791,rna15949
LOC106919792,gene8380,NA,NA
tmprss6,gene8381,rna15951_gene_tmprss6,rna15951
LOC106919793,gene8382,NA,NA
LOC106919794,gene8383,rna15954_gene_LOC106919794,rna15954
vps4b,gene8384,rna15956_gene_vps4b,rna15956
kdsr,gene8385,rna15958_gene_kdsr,rna15958
bcl2,gene8386,rna15960_gene_bcl2,rna15960
LOC106919797,gene8387,rna15961_gene_LOC106919797,rna15961
kmt2c,gene8388,rna15972_gene_kmt2c,rna15972
LOC106919801,gene8389,rna15975_gene_LOC106919801,rna15975
LOC106919803,gene8390,NA,NA
LOC106919804,gene8391,rna15979_gene_LOC106919804,rna15979
LOC106919805,gene8392,NA,NA
rspo2,gene8393,rna15981_gene_rspo2,rna15981
LOC106919808,gene8394,NA,NA
LOC106919806,gene8395,rna15985_gene_LOC106919806,rna15985
emc2,gene8396,rna15986_gene_emc2,rna15986
tmem74,gene8397,rna15987_gene_tmem74,rna15987
trhr,gene8398,rna15988_gene_trhr,rna15988
LOC106919814,gene8399,NA,NA
nsun7,gene8400,rna15991_gene_nsun7,rna15991
apbb2,gene8401,rna15997_gene_apbb2,rna15997
gsg2,gene8402,rna16002_gene_gsg2,rna16002
LOC106919816,gene8403,rna16008_gene_LOC106919816,rna16008
ncapg,gene8404,rna16013_gene_ncapg,rna16013
lcorl,gene8405,rna16014_gene_lcorl,rna16014
LOC106919819,gene8406,rna16016_gene_LOC106919819,rna16016
LOC106919820,gene8407,rna16017_gene_LOC106919820,rna16017
LOC106919823,gene8408,rna16021_gene_LOC106919823,rna16021
LOC106919823,gene8408,rna16021_gene_LOC106919823,rna16021
LOC106919824,gene8409,NA,NA
LOC106919825,gene8410,rna16023_gene_LOC106919825,rna16023
LOC106919822,gene8411,NA,NA
nsfl1c,gene8412,rna16027_gene_nsfl1c,rna16027
LOC106919828,gene8413,rna16028_gene_LOC106919828,rna16028
LOC106919829,gene8414,rna16029_gene_LOC106919829,rna16029
LOC106919832,gene8415,rna16032_gene_LOC106919832,rna16032
snph,gene8416,rna16036_gene_snph,rna16036
ntsr1,gene8417,rna16039_gene_ntsr1,rna16039
LOC106919821,gene8418,NA,NA
LOC106919835,gene8419,rna16041_gene_LOC106919835,rna16041
LOC106919836,gene8420,NA,NA
LOC106919839,gene8421,rna16043_gene_LOC106919839,rna16043
LOC106919840,gene8422,NA,NA
LOC106919837,gene8423,rna16046_gene_LOC106919837,rna16046
klhl6,gene8424,rna16051_gene_klhl6,rna16051
LOC106919841,gene8425,rna16048_gene_LOC106919841,rna16048
LOC106919843,gene8426,rna16053_gene_LOC106919843,rna16053
LOC106919845,gene8427,NA,NA
LOC106919844,gene8428,NA,NA
anos1,gene8429,rna16056_gene_anos1,rna16056
LOC106919834,gene8430,rna16057_gene_LOC106919834,rna16057
LOC106919847,gene8431,rna16058_gene_LOC106919847,rna16058
gpr143,gene8432,rna16061_gene_gpr143,rna16061
LOC106919849,gene8433,NA,NA
mospd2,gene8434,rna16065_gene_mospd2,rna16065
fancb,gene8435,rna16066_gene_fancb,rna16066
glra2,gene8436,rna16072_gene_glra2,rna16072
gpm6b,gene8437,rna16074_gene_gpm6b,rna16074
ofd1,gene8438,rna16078_gene_ofd1,rna16078
trappc2,gene8439,rna16079_gene_trappc2,rna16079
rab9a,gene8440,rna16083_gene_rab9a,rna16083
egfl6,gene8441,rna16088_gene_egfl6,rna16088
LOC106919861,gene8442,rna16089_gene_LOC106919861,rna16089
LOC106919862,gene8443,rna16090_gene_LOC106919862,rna16090
LOC106919865,gene8444,rna16091_gene_LOC106919865,rna16091
igfbp2,gene8445,rna16093_gene_igfbp2,rna16093
LOC106919866,gene8446,NA,NA
stk11ip,gene8447,rna16095_gene_stk11ip,rna16095
LOC106919867,gene8448,rna16098_gene_LOC106919867,rna16098
inha,gene8449,rna16100_gene_inha,rna16100
speg,gene8450,rna16101_gene_speg,rna16101
LOC106919871,gene8451,rna16106_gene_LOC106919871,rna16106
obsl1,gene8452,rna16107_gene_obsl1,rna16107
LOC106919873,gene8453,rna16108_gene_LOC106919873,rna16108
LOC106919874,gene8454,rna16109_gene_LOC106919874,rna16109
LOC106919875,gene8455,rna16110_gene_LOC106919875,rna16110
LOC106919876,gene8456,NA,NA
gbe1,gene8457,rna16112_gene_gbe1,rna16112
LOC106919882,gene8458,rna16114_gene_LOC106919882,rna16114
LOC106919884,gene8459,NA,NA
rwdd2b,gene8460,rna16117_gene_rwdd2b,rna16117
usp16,gene8461,rna16118_gene_usp16,rna16118
LOC106919886,gene8462,rna16122_gene_LOC106919886,rna16122
LOC106919877,gene8463,rna16123_gene_LOC106919877,rna16123
LOC106919878,gene8464,rna16124_gene_LOC106919878,rna16124
LOC106919888,gene8465,rna16125_gene_LOC106919888,rna16125
LOC106919889,gene8466,rna16126_gene_LOC106919889,rna16126
LOC106919879,gene8467,rna16127_gene_LOC106919879,rna16127
LOC106919880,gene8468,rna16128_gene_LOC106919880,rna16128
LOC106919890,gene8469,rna16129_gene_LOC106919890,rna16129
caap1,gene8470,rna16131_gene_caap1,rna16131
LOC106919895,gene8471,NA,NA
LOC106919894,gene8472,NA,NA
LOC106919892,gene8473,NA,NA
elavl2,gene8474,rna16138_gene_elavl2,rna16138
LOC106919897,gene8475,rna16142_gene_LOC106919897,rna16142
LOC106919899,gene8476,NA,NA
LOC106919901,gene8477,NA,NA
LOC106919902,gene8478,NA,NA
casz1,gene8479,rna16149_gene_casz1,rna16149
LOC106919903,gene8480,rna16154_gene_LOC106919903,rna16154
pex14,gene8481,rna16157_gene_pex14,rna16157
LOC106919907,gene8482,NA,NA
LOC106919906,gene8483,NA,NA
dffa,gene8484,rna16160_gene_dffa,rna16160
masp2,gene8485,rna16161_gene_masp2,rna16161
LOC106919910,gene8486,NA,NA
naaladl2,gene8487,rna16164_gene_naaladl2,rna16164
LOC106919911,gene8488,rna16165_gene_LOC106919911,rna16165
trnaq-cug,gene8489,NA,NA
LOC106919915,gene8490,gene8490_gene_LOC106919915,gene8490
LOC106919924,gene8491,gene8491_gene_LOC106919924,gene8491
LOC106919913,gene8492,gene8492_gene_LOC106919913,gene8492
LOC106919919,gene8493,gene8493_gene_LOC106919919,gene8493
LOC106919920,gene8494,gene8494_gene_LOC106919920,gene8494
LOC106919914,gene8495,gene8495_gene_LOC106919914,gene8495
LOC106919923,gene8496,gene8496_gene_LOC106919923,gene8496
LOC106919925,gene8497,gene8497_gene_LOC106919925,gene8497
LOC106919918,gene8498,gene8498_gene_LOC106919918,gene8498
LOC106919921,gene8499,gene8499_gene_LOC106919921,gene8499
LOC106919916,gene8500,rna16167_gene_LOC106919916,rna16167
LOC106919927,gene8501,rna16168_gene_LOC106919927,rna16168
ndufb9,gene8502,rna16169_gene_ndufb9,rna16169
tatdn1,gene8503,rna16171_gene_tatdn1,rna16171
rnf139,gene8504,rna16172_gene_rnf139,rna16172
tmem65,gene8505,rna16173_gene_tmem65,rna16173
mtss1,gene8506,rna16175_gene_mtss1,rna16175
LOC106919934,gene8507,rna16179_gene_LOC106919934,rna16179
LOC106919936,gene8508,rna16180_gene_LOC106919936,rna16180
LOC106919935,gene8509,rna16181_gene_LOC106919935,rna16181
LOC106919937,gene8510,rna16183_gene_LOC106919937,rna16183
LOC106919939,gene8511,rna16184_gene_LOC106919939,rna16184
LOC106919938,gene8512,rna16185_gene_LOC106919938,rna16185
LOC106919917,gene8513,rna16186_gene_LOC106919917,rna16186
LOC106919940,gene8514,rna16187_gene_LOC106919940,rna16187
zfpm2,gene8515,rna16188_gene_zfpm2,rna16188
LOC106919944,gene8516,NA,NA
dpys,gene8517,rna16191_gene_dpys,rna16191
LOC106919943,gene8518,NA,NA
dcstamp,gene8519,rna16193_gene_dcstamp,rna16193
LOC106919946,gene8520,rna16198_gene_LOC106919946,rna16198
LOC106919950,gene8521,NA,NA
LOC106919959,gene8522,NA,NA
mef2d,gene8523,rna16225_gene_mef2d,rna16225
LOC106919954,gene8524,rna16229_gene_LOC106919954,rna16229
LOC106919955,gene8525,rna16230_gene_LOC106919955,rna16230
LOC106919958,gene8526,NA,NA
LOC106919957,gene8527,rna16236_gene_LOC106919957,rna16236
LOC106919951,gene8528,rna16237_gene_LOC106919951,rna16237
LOC106919956,gene8529,rna16238_gene_LOC106919956,rna16238
LOC106919953,gene8530,rna16240_gene_LOC106919953,rna16240
LOC106919964,gene8531,NA,NA
LOC106919965,gene8532,NA,NA
LOC106919949,gene8533,rna16243_gene_LOC106919949,rna16243
LOC106919960,gene8534,rna16244_gene_LOC106919960,rna16244
LOC106919963,gene8535,rna16246_gene_LOC106919963,rna16246
LOC106919961,gene8536,rna16250_gene_LOC106919961,rna16250
LOC106919962,gene8537,rna16252_gene_LOC106919962,rna16252
LOC106919966,gene8538,rna16253_gene_LOC106919966,rna16253
LOC106919967,gene8539,rna16254_gene_LOC106919967,rna16254
hax1,gene8540,rna16255_gene_hax1,rna16255
ubap2l,gene8541,rna16259_gene_ubap2l,rna16259
LOC106919972,gene8542,rna16262_gene_LOC106919972,rna16262
LOC106919970,gene8543,rna16263_gene_LOC106919970,rna16263
LOC106919971,gene8544,rna16265_gene_LOC106919971,rna16265
LOC106919974,gene8545,NA,NA
shox2,gene8546,rna16268_gene_shox2,rna16268
rsrc1,gene8547,rna16269_gene_rsrc1,rna16269
mlf1,gene8548,rna16271_gene_mlf1,rna16271
med29,gene8549,rna16274_gene_med29,rna16274
LOC106919980,gene8550,rna16275_gene_LOC106919980,rna16275
sik2,gene8551,rna16277_gene_sik2,rna16277
LOC106919981,gene8552,rna16278_gene_LOC106919981,rna16278
LOC106919983,gene8553,NA,NA
ajap1,gene8554,rna16280_gene_ajap1,rna16280
nphp4,gene8555,rna16282_gene_nphp4,rna16282
dffb,gene8556,rna16287_gene_dffb,rna16287
LOC106919987,gene8557,rna16288_gene_LOC106919987,rna16288
LOC106919982,gene8558,rna16289_gene_LOC106919982,rna16289
LOC106919989,gene8559,rna16290_gene_LOC106919989,rna16290
LOC106919990,gene8560,NA,NA
LOC106919991,gene8561,rna16295_gene_LOC106919991,rna16295
LOC106919992,gene8562,rna16297_gene_LOC106919992,rna16297
LOC106919993,gene8563,rna16298_gene_LOC106919993,rna16298
LOC106919994,gene8564,rna16299_gene_LOC106919994,rna16299
LOC106919988,gene8565,rna16302_gene_LOC106919988,rna16302
LOC106919995,gene8566,rna16310_gene_LOC106919995,rna16310
rcc1,gene8567,rna16313_gene_rcc1,rna16313
oprd1,gene8568,rna16314_gene_oprd1,rna16314
LOC106919999,gene8569,rna16318_gene_LOC106919999,rna16318
LOC106920000,gene8570,rna16322_gene_LOC106920000,rna16322
LOC106920001,gene8571,rna16323_gene_LOC106920001,rna16323
LOC106920002,gene8572,rna16324_gene_LOC106920002,rna16324
LOC106920003,gene8573,NA,NA
LOC106920004,gene8574,rna16328_gene_LOC106920004,rna16328
trnav-aac,gene8575,NA,NA
trnav-uac,gene8576,NA,NA
LOC106920005,gene8577,rna16336_gene_LOC106920005,rna16336
LOC106920006,gene8578,rna16337_gene_LOC106920006,rna16337
LOC106920008,gene8579,NA,NA
LOC106920007,gene8580,rna16340_gene_LOC106920007,rna16340
LOC106920009,gene8581,rna16341_gene_LOC106920009,rna16341
LOC106920010,gene8582,rna16342_gene_LOC106920010,rna16342
LOC106920011,gene8583,rna16344_gene_LOC106920011,rna16344
tmed10,gene8584,rna16345_gene_tmed10,rna16345
eif2b2,gene8585,rna16346_gene_eif2b2,rna16346
zc3h14,gene8586,rna16347_gene_zc3h14,rna16347
LOC106920015,gene8587,rna16349_gene_LOC106920015,rna16349
chrna2,gene8588,rna16353_gene_chrna2,rna16353
LOC106920017,gene8589,rna16354_gene_LOC106920017,rna16354
LOC106920020,gene8590,NA,NA
LOC106920019,gene8591,rna16356_gene_LOC106920019,rna16356
nme6,gene8592,rna16359_gene_nme6,rna16359
LOC106920021,gene8593,NA,NA
eif2b4,gene8594,rna16362_gene_eif2b4,rna16362
atraid,gene8595,rna16364_gene_atraid,rna16364
snx17,gene8596,rna16365_gene_snx17,rna16365
znf513,gene8597,rna16366_gene_znf513,rna16366
LOC106920026,gene8598,rna16368_gene_LOC106920026,rna16368
LOC106920027,gene8599,NA,NA
diaph2,gene8600,rna16375_gene_diaph2,rna16375
LOC106920029,gene8601,NA,NA
LOC106920030,gene8602,NA,NA
LOC106920031,gene8603,rna16378_gene_LOC106920031,rna16378
LOC106920032,gene8604,rna16380_gene_LOC106920032,rna16380
gla,gene8605,rna16381_gene_gla,rna16381
LOC106920034,gene8606,rna16382_gene_LOC106920034,rna16382
btk,gene8607,rna16383_gene_btk,rna16383
timm8a,gene8608,rna16385_gene_timm8a,rna16385
LOC106920038,gene8609,rna16386_gene_LOC106920038,rna16386
mars2,gene8610,rna16387_gene_mars2,rna16387
med12,gene8611,rna16388_gene_med12,rna16388
LOC106920040,gene8612,rna16391_gene_LOC106920040,rna16391
LOC106920043,gene8613,rna16392_gene_LOC106920043,rna16392
LOC106920045,gene8614,rna16394_gene_LOC106920045,rna16394
mrps10,gene8615,rna16397_gene_mrps10,rna16397
tulp4,gene8616,rna16398_gene_tulp4,rna16398
tmem181,gene8617,rna16402_gene_tmem181,rna16402
dynlt1,gene8618,rna16405_gene_dynlt1,rna16405
gtf2h5,gene8619,rna16406_gene_gtf2h5,rna16406
serac1,gene8620,rna16409_gene_serac1,rna16409
myct1,gene8621,rna16410_gene_myct1,rna16410
syne1,gene8622,rna16414_gene_syne1,rna16414
esr1,gene8623,rna16422_gene_esr1,rna16422
armt1,gene8624,rna16423_gene_armt1,rna16423
zbtb2,gene8625,rna16426_gene_zbtb2,rna16426
akap12,gene8626,rna16427_gene_akap12,rna16427
LOC106920056,gene8627,rna16430_gene_LOC106920056,rna16430
ace,gene8628,rna16432_gene_ace,rna16432
LOC106920062,gene8629,rna16433_gene_LOC106920062,rna16433
LOC106920063,gene8630,rna16434_gene_LOC106920063,rna16434
LOC106920064,gene8631,rna16435_gene_LOC106920064,rna16435
LOC106920059,gene8632,rna16436_gene_LOC106920059,rna16436
LOC106920065,gene8633,rna16437_gene_LOC106920065,rna16437
LOC106920066,gene8634,rna16438_gene_LOC106920066,rna16438
otop2,gene8635,rna16439_gene_otop2,rna16439
LOC106920069,gene8636,rna16440_gene_LOC106920069,rna16440
LOC106920068,gene8637,rna16442_gene_LOC106920068,rna16442
amn,gene8638,rna16444_gene_amn,rna16444
LOC106920072,gene8639,NA,NA
LOC106920071,gene8640,rna16446_gene_LOC106920071,rna16446
LOC106920073,gene8641,rna16447_gene_LOC106920073,rna16447
LOC106920074,gene8642,rna16453_gene_LOC106920074,rna16453
LOC106920075,gene8643,rna16454_gene_LOC106920075,rna16454
socs3,gene8644,rna16455_gene_socs3,rna16455
LOC106920077,gene8645,rna16457_gene_LOC106920077,rna16457
usp36,gene8646,rna16461_gene_usp36,rna16461
LOC106920080,gene8647,rna16462_gene_LOC106920080,rna16462
LOC106920081,gene8648,rna16463_gene_LOC106920081,rna16463
LOC106920082,gene8649,rna16466_gene_LOC106920082,rna16466
cant1,gene8650,rna16469_gene_cant1,rna16469
LOC106920085,gene8651,rna16471_gene_LOC106920085,rna16471
LOC106920086,gene8652,rna16472_gene_LOC106920086,rna16472
LOC106920058,gene8653,rna16473_gene_LOC106920058,rna16473
stra13,gene8654,rna16474_gene_stra13,rna16474
notum,gene8655,rna16475_gene_notum,rna16475
LOC106920089,gene8656,rna16476_gene_LOC106920089,rna16476
LOC106920090,gene8657,rna16477_gene_LOC106920090,rna16477
LOC106920092,gene8658,rna16478_gene_LOC106920092,rna16478
LOC106920093,gene8659,rna16479_gene_LOC106920093,rna16479
LOC106920094,gene8660,rna16480_gene_LOC106920094,rna16480
LOC106920061,gene8661,rna16481_gene_LOC106920061,rna16481
LOC106920096,gene8662,rna16483_gene_LOC106920096,rna16483
rnf213,gene8663,rna16485_gene_rnf213,rna16485
dazap1,gene8664,rna16488_gene_dazap1,rna16488
LOC106920106,gene8665,NA,NA
gamt,gene8666,rna16493_gene_gamt,rna16493
ndufs7,gene8667,rna16494_gene_ndufs7,rna16494
LOC106920101,gene8668,rna16495_gene_LOC106920101,rna16495
LOC106920102,gene8669,rna16496_gene_LOC106920102,rna16496
arid3a,gene8670,rna16497_gene_arid3a,rna16497
slc35e1,gene8671,rna16499_gene_slc35e1,rna16499
med26,gene8672,rna16500_gene_med26,rna16500
pex11g,gene8673,rna16501_gene_pex11g,rna16501
LOC106920108,gene8674,rna16504_gene_LOC106920108,rna16504
LOC106920112,gene8675,rna16506_gene_LOC106920112,rna16506
LOC106920115,gene8676,NA,NA
r3hdm4,gene8677,rna16509_gene_r3hdm4,rna16509
LOC106920097,gene8678,rna16510_gene_LOC106920097,rna16510
LOC106920116,gene8679,NA,NA
LOC106920098,gene8680,NA,NA
LOC106920117,gene8681,rna16516_gene_LOC106920117,rna16516
LOC106920099,gene8682,NA,NA
znfx1,gene8683,rna16520_gene_znfx1,rna16520
tbc1d20,gene8684,rna16523_gene_tbc1d20,rna16523
rbck1,gene8685,rna16525_gene_rbck1,rna16525
LOC106920123,gene8686,rna16526_gene_LOC106920123,rna16526
cbfa2t2,gene8687,rna16527_gene_cbfa2t2,rna16527
snta1,gene8688,rna16530_gene_snta1,rna16530
LOC106920125,gene8689,rna16532_gene_LOC106920125,rna16532
LOC106920126,gene8690,rna16537_gene_LOC106920126,rna16537
LOC106920128,gene8691,rna16538_gene_LOC106920128,rna16538
sec16b,gene8692,rna16540_gene_sec16b,rna16540
LOC106920131,gene8693,rna16545_gene_LOC106920131,rna16545
LOC106920133,gene8694,rna16546_gene_LOC106920133,rna16546
LOC106920129,gene8695,rna16550_gene_LOC106920129,rna16550
dr1,gene8696,rna16551_gene_dr1,rna16551
LOC106920134,gene8697,rna16553_gene_LOC106920134,rna16553
fam69a,gene8698,rna16554_gene_fam69a,rna16554
rpl5,gene8699,rna16555_gene_rpl5,rna16555
evi5,gene8700,rna16559_gene_evi5,rna16559
gfi1,gene8701,rna16562_gene_gfi1,rna16562
LOC106920139,gene8702,rna16563_gene_LOC106920139,rna16563
LOC106920140,gene8703,rna16564_gene_LOC106920140,rna16564
kiaa1107,gene8704,rna16565_gene_kiaa1107,rna16565
LOC106920142,gene8705,NA,NA
epha8,gene8706,rna16569_gene_epha8,rna16569
LOC106920144,gene8707,NA,NA
cldn19,gene8708,rna16574_gene_cldn19,rna16574
p3h1,gene8709,rna16576_gene_p3h1,rna16576
elf3,gene8710,rna16577_gene_elf3,rna16577
arfrp1,gene8711,rna16579_gene_arfrp1,rna16579
LOC106920148,gene8712,rna16580_gene_LOC106920148,rna16580
LOC106920150,gene8713,rna16582_gene_LOC106920150,rna16582
LOC106920151,gene8714,rna16583_gene_LOC106920151,rna16583
LOC106920153,gene8715,NA,NA
LOC106920152,gene8716,rna16586_gene_LOC106920152,rna16586
LOC106920154,gene8717,rna16587_gene_LOC106920154,rna16587
LOC106920155,gene8718,rna16589_gene_LOC106920155,rna16589
fam219b,gene8719,rna16591_gene_fam219b,rna16591
LOC106920157,gene8720,rna16592_gene_LOC106920157,rna16592
LOC106920158,gene8721,rna16593_gene_LOC106920158,rna16593
LOC106920159,gene8722,NA,NA
lrrc28,gene8723,rna16596_gene_lrrc28,rna16596
LOC106920161,gene8724,rna16597_gene_LOC106920161,rna16597
LOC106920163,gene8725,rna16599_gene_LOC106920163,rna16599
LOC106920162,gene8726,rna16600_gene_LOC106920162,rna16600
gemin7,gene8727,rna16601_gene_gemin7,rna16601
LOC106920166,gene8728,rna16602_gene_LOC106920166,rna16602
LOC106920167,gene8729,rna16603_gene_LOC106920167,rna16603
ppp1r37,gene8730,rna16605_gene_ppp1r37,rna16605
LOC106920170,gene8731,rna16606_gene_LOC106920170,rna16606
LOC106920164,gene8732,rna16607_gene_LOC106920164,rna16607
mrpl28,gene8733,rna16608_gene_mrpl28,rna16608
relb,gene8734,rna16609_gene_relb,rna16609
clptm1,gene8735,rna16612_gene_clptm1,rna16612
tbcb,gene8736,rna16613_gene_tbcb,rna16613
LOC106920175,gene8737,rna16614_gene_LOC106920175,rna16614
LOC106920177,gene8738,rna16615_gene_LOC106920177,rna16615
LOC106920176,gene8739,rna16616_gene_LOC106920176,rna16616
LOC106920178,gene8740,rna16617_gene_LOC106920178,rna16617
sipa1l3,gene8741,rna16619_gene_sipa1l3,rna16619
LOC106920181,gene8742,NA,NA
LOC106920183,gene8743,NA,NA
LOC106920182,gene8744,rna16622_gene_LOC106920182,rna16622
LOC106920180,gene8745,NA,NA
LOC106920185,gene8746,NA,NA
LOC106920186,gene8747,rna16625_gene_LOC106920186,rna16625
LOC106920187,gene8748,NA,NA
LOC106920188,gene8749,rna16630_gene_LOC106920188,rna16630
LOC106920189,gene8750,rna16631_gene_LOC106920189,rna16631
LOC106920190,gene8751,rna16632_gene_LOC106920190,rna16632
trnan-guu,gene8752,NA,NA
trnam-cau,gene8753,NA,NA
LOC106920192,gene8754,rna16635_gene_LOC106920192,rna16635
LOC106920191,gene8755,rna16636_gene_LOC106920191,rna16636
LOC106920194,gene8756,rna16637_gene_LOC106920194,rna16637
LOC106920193,gene8757,rna16638_gene_LOC106920193,rna16638
LOC106920195,gene8758,rna16640_gene_LOC106920195,rna16640
LOC106920196,gene8759,rna16641_gene_LOC106920196,rna16641
LOC106920198,gene8760,rna16646_gene_LOC106920198,rna16646
LOC106920201,gene8761,rna16647_gene_LOC106920201,rna16647
LOC106920200,gene8762,rna16648_gene_LOC106920200,rna16648
LOC106920202,gene8763,NA,NA
